id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
115269,02/03/18,sexta-feira,15:45:00,PB,230,"495,1",CAJAZEIRAS,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,2,0,2,0,0,0,2,1,"-6,8838","-38,4671",SR-PB,DEL14/3,UOP03/PB
115301,02/03/18,sexta-feira,17:25:00,PB,230,49,SANTA RITA,Avarias e/ou desgaste excessivo no pneu,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Nublado,Dupla,Curva,Não,1,0,0,0,1,0,0,1,"-7,18224245","-35,05077481",SR-PB,DEL14/1,UOP02/PB
115331,02/03/18,sexta-feira,14:30:00,PB,101,"126,5",CAAPORA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ignorado,Dupla,Reta,Sim,4,0,1,1,1,1,2,2,"-7,49197319","-34,98274863",SR-PB,DEL14/1,UOP01/PB
115349,02/03/18,sexta-feira,19:40:00,PB,230,18,JOÃO PESSOA,Defeito Mecânico no Veículo,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Não Informado,Sim,1,0,0,0,1,0,0,1,"-7,1198","-34,8453",SR-PB,DEL14/1,UOP00/PB
115411,03/03/18,sábado,05:00:00,PB,101,"19,9",RIO TINTO,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Dupla,Curva,Não,1,0,1,0,0,0,1,1,"-6,6675","-35,1138",SR-PB,DEL14/1,UOP03/PB
115433,03/03/18,sábado,06:50:00,PB,230,"40,9",SANTA RITA,Velocidade Incompatível,Colisão com objeto estático,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,Não,1,0,0,0,0,1,0,1,"-7,143","-34,9891",SR-PB,DEL14/1,UOP00/PB
115466,03/03/18,sábado,09:20:00,PB,101,"13,3",MAMANGUAPE,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,2,0,1,0,1,0,1,1,"-6,611498","-35,139782",SR-PB,DEL14/1,UOP03/PB
115515,03/03/18,sábado,15:15:00,PB,101,43,MAMANGUAPE,Velocidade Incompatível,Colisão com objeto estático,Sem Vítimas,Pleno dia,Decrescente,Garoa/Chuvisco,Dupla,Curva,Não,1,0,0,0,1,0,0,1,"-6,8634304","-35,133582",SR-PB,DEL14/1,UOP03/PB
115523,03/03/18,sábado,15:20:00,PB,230,136,CAMPINA GRANDE,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,"-7,2818","-35,7675",SR-PB,DEL14/2,UOP01/PB
115595,03/03/18,sábado,19:25:00,PB,230,"33,3",BAYEUX,Velocidade Incompatível,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,1,0,1,1,1,2,"-7,136169","-34,926396",SR-PB,DEL14/1,UOP00/PB
115857,04/03/18,domingo,18:30:00,PB,230,509,CAJAZEIRAS,Ingestão de Álcool,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Sim,2,0,0,0,2,0,0,2,"-6,892","-38,582",SR-PB,DEL14/3,UOP03/PB
115873,04/03/18,domingo,20:00:00,PB,230,"370,7",MALTA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,1,0,0,1,0,0,2,"-6,90865","-37,555568",SR-PB,DEL14/3,UOP02/PB
118852,04/03/18,domingo,17:15:00,PB,230,11,CABEDELO,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,2,0,1,0,1,0,1,2,"-7,065138","-34,849837",SR-PB,DEL14/1,UOP00/PB
119655,04/03/18,domingo,13:20:00,PB,230,"123,1",CAMPINA GRANDE,Defeito Mecânico no Veículo,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não,1,0,1,0,0,0,1,1,"-7,25449649","-35,66608429",SR-PB,DEL14/2,UOP01/PB
115972,05/03/18,segunda-feira,07:40:00,PB,101,"63,1",SANTA RITA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,1,0,1,0,0,0,1,1,"-7,0381","-35,0532",SR-PB,DEL14/1,UOP03/PB
115994,05/03/18,segunda-feira,10:20:00,PB,230,"135,5",CAMPINA GRANDE,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Curva,Não,2,0,0,2,0,0,2,1,"-7,2789","-35,7591",SR-PB,DEL14/2,UOP01/PB
116023,05/03/18,segunda-feira,13:25:00,PB,230,35,SANTA RITA,Velocidade Incompatível,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Não Informado,Sim,6,0,2,0,4,0,2,5,"-7,1268","-34,9412",SR-PB,DEL14/1,UOP00/PB
116033,05/03/18,segunda-feira,15:50:00,PB,230,"59,5",CRUZ DO ESPÍRITO SANTO,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,4,0,4,0,0,0,4,2,"-7,20515306","-35,14177538",SR-PB,DEL14/1,UOP02/PB
116039,05/03/18,segunda-feira,16:30:00,PB,101,84,BAYEUX,Defeito Mecânico no Veículo,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,1,"-7,1483","-34,9131",SR-PB,DEL14/1,UOP00/PB
