id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veículos,latitude,longitude,regional,delegacia,uop
205698,26/04/19,sexta-feira,16:30:00,PB,230,"20,5",JOÃO PESSOA,Falta de Atenção à Condução,Engavetamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,6,0,0,0,6,0,0,6,"-7,13775","-34,85347",SR-PB,DEL14/1,UOP01/PB
205726,26/04/19,sexta-feira,18:20:00,PB,110,"183,6",MONTEIRO,Animais na Pista,Atropelamento de Animal,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Simples,Reta,Não,1,1,0,0,0,0,0,1,"-7,908707","-37,14303",SR-PB,DEL14/2,UOP02/PB
207716,26/04/19,sexta-feira,14:30:00,PB,230,"21,8",JOÃO PESSOA,Falta de Atenção à Condução,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,5,0,2,2,1,0,4,4,"-7,151722","-34,85347",SR-PB,DEL14/1,UOP01/PB
205856,27/04/19,sábado,10:30:00,PB,230,15,JOÃO PESSOA,Avarias e/ou desgaste excessivo no pneu,Colisão com objeto estático,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,1,0,0,0,0,1,0,1,"-7,093","-34,8482",SR-PB,DEL14/1,UOP01/PB
205863,27/04/19,sábado,11:10:00,PB,101,105,ALHANDRA,Defeito na Via,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,"-7,308146","-34,94344",SR-PB,DEL14/1,UOP01/PB
205869,27/04/19,sábado,11:40:00,PB,101,"20,6",MAMANGUAPE,Condutor Dormindo,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,"-6,663237","-35,11434",SR-PB,DEL14/1,UOP03/PB
205984,27/04/19,sábado,19:45:00,PB,230,"516,5",BOM JESUS,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,1,0,0,1,0,0,1,1,"-6,864764","-38,65738",SR-PB,DEL14/3,UOP03/PB
206041,28/04/19,domingo,04:30:00,PB,230,"10,1",CABEDELO,Falta de Atenção à Condução,Capotamento,Sem Vítimas,Amanhecer,Crescente,Nublado,Dupla,Túnel,Sim,1,0,0,0,0,1,0,1,"-7,0514","-34,8499",SR-PB,DEL14/1,UOP01/PB
206100,28/04/19,domingo,10:30:00,PB,101,119,CAAPORA,Defeito Mecânico no Veículo,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1,0,0,0,1,0,0,1,"-7,428978","-34,96673",SR-PB,DEL14/1,UOP01/PB
206263,29/04/19,segunda-feira,12:00:00,PB,230,"17,1",JOÃO PESSOA,Não guardar distância de segurança,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,4,0,1,0,3,0,1,4,"-7,113588","-34,84226",SR-PB,DEL14/1,UOP01/PB
